filename,width,height,class,xmin,ymin,xmax,ymax
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1112,697,1165,748
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,446,358,470,406
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,referee,1845,684,1899,768
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,547,367,565,414
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,954,321,972,363
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,602,421,623,480
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,825,335,841,380
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1129,384,1149,441
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,388,446,409,511
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,goalkeeper,1792,408,1816,467
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,365,436,391,500
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,referee,575,457,600,522
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1399,555,1430,633
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1427,475,1468,535
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1264,642,1315,727
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,223,599,261,686
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1421,645,1460,711
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1109,399,1133,459
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1726,595,1769,680
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,1545,673,1580,767
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,549,634,588,727
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,258,719,302,819
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,ball,1427,521,1440,535
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,player,577,313,601,356
798b45_1_7_png.rf.d9325439d1c2c81e7352ed4f4571d2ff.jpg,1920,1080,referee,404,281,421,319
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,945,262,956,293
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,484,382,499,425
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,782,303,795,337
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,497,382,514,424
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,835,388,850,425
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,543,326,556,359
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1391,491,1413,541
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,goalkeeper,1,406,20,448
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,889,361,908,401
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1543,459,1562,507
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,612,317,626,352
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,451,627,478,687
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1129,381,1145,423
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,referee,1838,688,1878,755
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1084,527,1105,580
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,referee,675,435,690,481
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1166,571,1190,626
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,509,530,530,594
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,543,559,565,617
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1327,318,1342,358
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1300,503,1321,561
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,1120,583,1143,644
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,player,292,733,329,798
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,referee,580,250,594,283
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,goalkeeper,1752,379,1779,421
42ba34_3_4_png.rf.d0ff63c9b40d85974af560909e14eb43.jpg,1920,1080,ball,1542,495,1551,507
4b770a_7_7_png.rf.d7b19e34fb8687f19a8eb350fa0cad57.jpg,1920,1080,ball,1516,555,1527,567
4b770a_7_7_png.rf.d7b19e34fb8687f19a8eb350fa0cad57.jpg,1920,1080,player,670,297,686,344
4b770a_7_7_png.rf.d7b19e34fb8687f19a8eb350fa0cad57.jpg,1920,1080,referee,1358,260,1380,298
4b770a_7_7_png.rf.d7b19e34fb8687f19a8eb350fa0cad57.jpg,1920,1080,player,680,256,695,300
